Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,"100,000 evaluaciones",0.1599292755126953,0.19687676429748535,0.18067530790964761,0.010761385682961666
PSO,"100,000 evaluaciones",0.06536173820495605,0.08147025108337402,0.07022326787312826,0.0034059847913752578
Recocido,"100,000 evaluaciones",0.01752328872680664,0.027795076370239258,0.019348518053690592,0.0017905690103668574
Tabu,"100,000 evaluaciones",0.014188766479492188,0.016629934310913086,0.015507086118062337,0.0006199160605173589
Genetico,"500,000 evaluaciones",0.9748845100402832,1.0429210662841797,0.9950888236363729,0.014388362052193415
PSO,"500,000 evaluaciones",0.3046855926513672,0.35746169090270996,0.3193950573603312,0.013576395442470702
Recocido,"500,000 evaluaciones",0.08069539070129395,0.09985733032226562,0.08685018221537272,0.004819385340869597
Tabu,"500,000 evaluaciones",0.06326007843017578,0.07251596450805664,0.06697972615559895,0.0022138132693550186
Genetico,"2,000,000 evaluaciones",3.917773723602295,4.315506935119629,4.0183678785959875,0.08466203573463828
PSO,"2,000,000 evaluaciones",1.2026255130767822,1.3688151836395264,1.2552093664805095,0.03734180121448786
Recocido,"2,000,000 evaluaciones",0.330902099609375,0.3783693313598633,0.34380925496419273,0.011806332008067926
Tabu,"2,000,000 evaluaciones",0.24892830848693848,0.2997016906738281,0.26121247609456383,0.012917568906363168
