Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,Pequeño,0.02060222625732422,0.026281356811523438,0.021336778004964193,0.0010853322212760273
PSO,Pequeño,0.02023601531982422,0.023443222045898438,0.0206391970316569,0.0006338396034060518
Recocido,Pequeño,0.31511688232421875,0.31807708740234375,0.3155621846516927,0.0007146327027392166
Tabu,Pequeño,0.3151664733886719,0.31818389892578125,0.3155638376871745,0.0006359346362114743
Genetico,Mediano,0.03630352020263672,0.03690624237060547,0.036516888936360674,0.00017297594620318177
PSO,Mediano,0.03605937957763672,0.03666210174560547,0.0362185796101888,0.0001708891980409337
Recocido,Mediano,0.6276168823242188,0.6301498413085938,0.6279624938964844,0.0004678605793977435
Tabu,Mediano,0.6277732849121094,0.6280632019042969,0.627948252360026,0.00012606518539497045
Genetico,Grande,0.06618022918701172,0.06727886199951172,0.06631806691487631,0.0001998956928383033
PSO,Grande,0.06593608856201172,0.06826305389404297,0.06609274546305338,0.00041946472158226636
Recocido,Grande,1.2551803588867188,1.2562789916992188,1.2554051717122396,0.0002105161234617516
Tabu,Grande,1.2553367614746094,1.2576789855957031,1.255566914876302,0.0004165324804422133
