Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,"100,000 evaluaciones",9643.15668241867,12702.733168928418,11428.105054269534,979.8772030189525
PSO,"100,000 evaluaciones",10750.711318827696,14814.32356543218,12656.697925524972,1081.6483230033932
Recocido,"100,000 evaluaciones",8840.563779884347,9142.658477936937,8943.457449403648,84.71430086416677
Tabu,"100,000 evaluaciones",9292.725492176665,9697.659802501834,9554.90583932698,104.7252853460274
Genetico,"500,000 evaluaciones",9191.2316903018,12674.453944271852,10558.608001720437,799.2609621371564
PSO,"500,000 evaluaciones",10050.329247491092,13297.620494999763,11495.92394476273,923.6963238356299
Recocido,"500,000 evaluaciones",8820.033245944223,9049.41343735828,8868.114081043102,49.79567685568429
Tabu,"500,000 evaluaciones",8831.086682872992,8942.972070939288,8881.305677358276,28.544750971365072
Genetico,"2,000,000 evaluaciones",9399.03593090032,12173.615846433524,10626.654530764758,797.9594465179891
PSO,"2,000,000 evaluaciones",9521.271987221247,12390.822429407644,10821.153366554412,753.7560421981715
Recocido,"2,000,000 evaluaciones",8820.033245944223,8879.778949335554,8832.449268792627,15.469048860389435
Tabu,"2,000,000 evaluaciones",8820.033245944223,8820.033245944227,8820.033245944223,1.0245309531001948e-12
