Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,"100,000 evaluaciones",9471.89168930138,12440.181486567042,10829.54147967893,838.1131909572334
PSO,"100,000 evaluaciones",10631.927147852428,14306.600363564765,12316.324399169922,1027.6704001238106
Recocido,"100,000 evaluaciones",8825.375509364478,9127.976103908813,8949.876731740667,80.54039945357569
Tabu,"100,000 evaluaciones",9107.90721671958,9777.19343354872,9525.080122447687,182.57376405796606
Genetico,"500,000 evaluaciones",9251.956151765471,12617.623199568783,10706.061077864999,866.3303423973264
PSO,"500,000 evaluaciones",9492.433697151442,13170.673422850705,11395.593934777644,721.9604774860383
Recocido,"500,000 evaluaciones",8820.033245944223,8987.847278038531,8863.273166179508,38.528269245298205
Tabu,"500,000 evaluaciones",8831.086682872994,8933.067319735279,8883.298016773177,22.073234227910426
Genetico,"2,000,000 evaluaciones",9170.938610581217,11860.071762221884,10261.772139383509,728.6537621044805
PSO,"2,000,000 evaluaciones",9470.594370596167,12714.908242978843,10815.531693020112,732.8863785903908
Recocido,"2,000,000 evaluaciones",8820.033245944223,8879.129028484416,8833.230480846072,17.649766194012454
Tabu,"2,000,000 evaluaciones",8820.033245944223,8825.375509364476,8820.211321391565,0.9753593944689171
