nombre,latitud,longitud
Advance Tepotzotlán I,19.718776,-99.2113516
Advance Tepotzotlán Ii,19.706043,-99.227541
Advance Toluca,19.296003,-99.575542
Atizapan Park,19.539376,-99.285799
Atizapark,19.583509,-99.225772
Centro Industrial Tlalnepantla,19.541366,-99.203062
Centro Logistico Puente Grande,19.819191,-99.205352
Ceylanpark,19.508272,-99.175993
Citypark,19.555128,-99.192462
Coacalco Park,19.622174,-99.077862
Condoter Park,19.305699,-99.553429
Conjunto Industrial Cuautitlan I,19.649561,-99.183818
Conjunto Industrial Cuautitlan Ii,19.65034,-99.183631
Conjunto Industrial Pasteje,19.658335,-99.795567
Convento City Parki,19.705828,-99.213635
Corredor Industrial Lerma,19.289741,-99.551966
Corredor Industrial Toluca,19.299512,-99.583138
Cpa Distribution Tlalnepantla Center,19.56754,-99.198667
Cpa Logistic Center Cuautitlan,19.684236,-99.150967
Cpa Logistic Center Estado De Mexico,19.729954,-99.137099
Cpa Logistic Center Huehuetoca,19.894085,-99.241278
Cpa Logistic Center San Martin Obispo,19.60655,-99.206113
Cpa Logistic Center Tepotzotlan,19.715824,-99.205511
Cpa Logistics Center Tlalnepantla,19.57493,-99.202443
Cuautipark I,19.661297,-99.185389
Cuautipark Ii,19.731922,-99.198028
Estrella Park,19.301458,-99.612171
Evolution Park Cartagena,19.648619,-99.154872
Evolution Park La Teja,19.734947,-99.212341
Evolution Park Tepotzotlán,19.707141,-99.211695
Ferropark Ii,19.509431,-99.178383
Fraccionamiento Industrial Alce Blanco,19.476387,-99.225222
Fraccionamiento Industrial Barrientos,19.573617,-99.2000149
Fraccionamiento Industrial Cuamatla,19.662937,-99.197266
Fraccionamiento Industrial El Pedregal,19.567992,-99.261259
Fraccionamiento Industrial Esfuerzo Nacional,19.529945,-99.070431
Fraccionamiento Industrial La Loma,19.533275,-99.20583
Fraccionamiento Industrial La Perla,19.480348,-99.22048
Fraccionamiento Industrial La Presa,19.525228,-99.115089
Fraccionamiento Industrial Las Armas,19.509278,-99.21088
Fraccionamiento Industrial Los Reyes,19.5236074,-99.193813
Fraccionamiento Industrial Morelos,19.565908,-99.044728
Fraccionamiento Industrial Naucalpan,19.481571,-99.230846
Fraccionamiento Industrial Niños Heroes,19.565684,-99.19919842
Fraccionamiento Industrial Puente De Vigas,19.510115,-99.21277
Fraccionamiento Industrial San Andres A Toto,19.460287,-99.217713
Fraccionamiento Industrial San Buenaventura,19.55236885,-99.184562
Fraccionamiento Industrial San Jeroniμο Tepetlacalco,19.515761271427785,-99.20782414288016
Fraccionamiento Industrial San Lorenzo,19.539574,-99.207696
Fraccionamiento Industrial San Nicolás,19.5522702,-99.2022709
Fraccionamiento Industrial Santa Maria Tulpetlac,19.56325,-99.043448
Fraccionamiento Industrial Sección San Sebastian Xhala,19.685977,-99.192453
Fraccionamiento Industrial Sección Xhala,19.686498,-99.184515
Fraccionamiento Industrial Tabla Honda,19.544286,-99.179883
Fraccionamiento Industrial Tlatilco,19.466395,-99.240465
Fraccionamiento Industrial Tlaxcolpan,19.552636,-99.197168
Fraccionamiento Industrial Xalostóc,19.513456,-99.083883
Frontier Toluca,19.375532,-99.558864
Gustavo Baz Park,19.521511,-99.210944
Kimex Park Tlalne,19.570153,-99.209485
La Bomba,19.308779,-99.537436
La Laguna Industrial Park,19.687262,-99.2127005
Lerma Litos,19.292462,-99.553633
Lerma Park I,19.291388,-99.545393
Lerma Park Ii,19.287632,-99.520752
Logicenter Cuautitlán I Xhala,19.696096,-99.185115
Logicenter Lerma I,19.316996,-99.542229
Logicenter Lerma Ii,19.291061,-99.530099
Logipark Xochitla,19.7288707,-99.1972174
Logistic Center Toluca,19.289085,-99.543958
Logistics And Distribution Bussines Park (Ldbp),19.291229,-98.893898
Macrocentro Tultitlan Iii,19.623378,-99.158123
Macrocentro Tultitlán,19.623603,-99.153801
Macrocentro Tultitlán Ii,19.628459,-99.152077
Maravillas Park,19.347131,-99.588845
Megapark,19.736205,-99.206204
Mexiquense Park,19.641735,-99.14226
Multialmacenes Logisticos Tultitlán,19.640634,-99.149406
Multipark,19.627926,-99.140356
Parque Agroindustrial San Antonio La Isla,19.175837,-99.576241
Parque Corporativo,19.3022251,-99.559506
Parque Industrial Arco 57,19.997035,-99.521058
Parque Industrial Atlacomulco,19.787093,-99.895725
Parque Industrial Campus Cuautitlán I,19.667377,-99.191389
Parque Industrial Cartagena,19.652187,-99.157656
Parque Industrial Cerrillo I,19.296566,-99.539353
Parque Industrial Cerrillo Ii,19.308661,-99.531326
Parque Industrial Coacalco,19.640893,-99.115056
Parque Industrial Cuamatla,19.664903,-99.199868
Parque Industrial Cuatitlan (Ocpl),19.673322,-99.233486
Parque Industrial Cuautitlán,19.667438,-99.19141
Parque Industrial El Coecillo,19.298402,-99.57912
Parque Industrial El Convento,19.715366,-99.203221
Parque Industrial El Convento Ii,19.704083,-99.215111
Parque Industrial El Sabino,19.682006,-99.196973
Parque Industrial El Terremoto,19.682403,-99.148337
Parque Industrial Exportec,19.336182,-99.584144
Parque Industrial Exporteci,19.336182,-99.584144
Parque Industrial Frisa (Dona Rosa),19.288357,-99.537218
Parque Industrial Huehuetoca (Odih),19.839678,-99.206342
Parque Industrial Inn,19.376309,-99.563077
Parque Industrial Ixtapaluca,19.313312,-98.89314
Parque Industrial Ixtlahuaca,19.578065,-99.762426
Parque Industrial Jilotepec,19.979619,-99.528053
Parque Industrial La Bomba,20.563507,-100.249748
Parque Industrial La Espinita,19.296404,-98.887591
Parque Industrial La Joya,19.65794,-99.174547
Parque Industrial La Luz,19.696756,-99.204764
Parque Industrial La Palma,19.80293,-98.969699
Parque Industrial Las Américas,19.849772,-99.238007
Parque Industrial Lerma,19.289923,-99.552074
Parque Industrial Naucalpan,19.464239,-99.215222
Parque Industrial Nezahualcóyotl,19.40858,-99.018344
Parque Industrial Polo Inn,20.253056,-99.915
Parque Industrial Prologis Carrizal,19.713317,-99.198608
Parque Industrial Prologis Park Cedros,19.707499,-99.20574
Parque Industrial Pyme Capulhuac,19.217002,-99.465956
Parque Industrial Pyμε San Nicolás Tlazala,19.217001,-99.465803
Parque Industrial San Antonio Buenavista,19.303055,-99.613766
Parque Industrial San Cayetano,19.419965,-99.716462
Parque Industrial San Lorenzo,19.706014,-99.201235
Parque Industrial San Martin,19.273252,-99.472853
Parque Industrial San Martin Obispo,19.607879,-99.207041
Parque Industrial San Martin Obispo Ii,19.594962,-99.208438
Parque Industrial San Miguel Tultitlán,19.639025,-99.137016
Parque Industrial San Pablo Xalpa,19.519312,-99.1664355
Parque Industrial Santa Barbara,19.777772,-99.873842
Parque Industrial Santa Margarita,19.588359,-99.751917
Parque Industrial Santiago Tianguistenco I Y Ii,19.173149,-99.46764
Parque Industrial Siporex I. Naucalpan,19.479945,-99.226203
Parque Industrial Tecámac,19.701725,-99.052761
Parque Industrial Tenango Del Valle,19.119336,-99.595146
Parque Industrial Toluca,19.327779,-99.661071
Parque Industrial Toluca 2000,19.385794,-99.571092
Parque Industrial Trebol,19.721556,-99.203739
Parque Industrial Tres Ríos,19.695456,-99.204587
Parque Industrial Tultitlán,19.655953,-99.152589
Parque Industrial Vesta Park Toluca 1,19.374827,-99.581554
Parque Industrial Vesta Park Toluca 2,19.383018,-99.563264
Parque Industrial Xalpa De Villa Hormes,19.812035,-99.190603
Parque Industrial Xolache,19.527515,-98.89429558
"Parque Industrial Ziporex Ii, Lerma",19.310843,-99.558341
"Parque Industrial Ziporex Iii, Toluca",19.30226,-99.551861
Parque Logístico El Peral,19.708046,-99.191628
Parque Microindustrial Cuautitlán Izcalli,19.689517,-99.200281
Pit Parque Industrial Texcoco,19.53078,-98.9000539
Polaris,19.308066,-99.557133
Premium Park Lerma,19.294754,-99.55524
Premium Park Tultepec Ii,19.650681,-99.146786
Premium Park Tultepeci,19.648428,-99.149006
Prologis Agave Logistic Center,19.605677,-99.212183
Prologis Encino Logistic Center,19.604939,-99.211979
Prologis Fresno,19.620452,-99.167767
Prologis Izcalli,19.709558,-99.193585
Prologis Laurel,19.681845,-99.182624
Prologis Mezquite Logistic Center,19.613446,-99.229208
Prologis Park Alamos,19.624415,-99.18072
Prologis Park Grande,19.732274,-99.216712
Prologis Park Izcalli Iv,19.714185,-99.194221
Prologis Park Jlp,19.620412,-99.167778
Prologis Park Toluca,19.297611,-99.546366
Prologis Park Toluca Ii,19.369675,-99.565844
Prologis Terminal Intermodal Ladero,19.680502,-99.190768
Proximity Parks Naucalpan,19.480026,-99.223283
Puente México I,19.700753,-99.229399
Puente México Ii,19.70023,-99.224906
Puente México Iii,19.70023,-99.224906
