nombre,latitud,longitud,Prediccion
Advance Tepotzotlán I,19.718776,-99.2113516,Nublado
Advance Tepotzotlán Ii,19.706043,-99.227541,Nublado
Advance Toluca,19.296003,-99.575542,Lluvia intensa
Atizapan Park,19.539376,-99.285799,Nublado
Atizapark,19.583509,-99.225772,Nublado
Centro Industrial Tlalnepantla,19.541366,-99.203062,Nublado
Centro Logistico Puente Grande,19.819191,-99.205352,Considerablemente nublado
Ceylanpark,19.508272,-99.175993,Nublado
Citypark,19.555128,-99.192462,Nublado
Coacalco Park,19.622174,-99.077862,Considerablemente nublado
Condoter Park,19.305699,-99.553429,Nublado
Conjunto Industrial Cuautitlan I,19.649561,-99.183818,Nublado
Conjunto Industrial Cuautitlan Ii,19.65034,-99.183631,Nublado
Conjunto Industrial Pasteje,19.658335,-99.795567,Considerablemente nublado
Convento City Parki,19.705828,-99.213635,Nublado
Corredor Industrial Lerma,19.289741,-99.551966,Lluvia intensa
Corredor Industrial Toluca,19.299512,-99.583138,Lluvia intensa
Cpa Distribution Tlalnepantla Center,19.56754,-99.198667,Nublado
Cpa Logistic Center Cuautitlan,19.684236,-99.150967,Considerablemente nublado
Cpa Logistic Center Estado De Mexico,19.729954,-99.137099,Considerablemente nublado
Cpa Logistic Center Huehuetoca,19.894085,-99.241278,Considerablemente nublado
Cpa Logistic Center San Martin Obispo,19.60655,-99.206113,Nublado
Cpa Logistic Center Tepotzotlan,19.715824,-99.205511,Nublado
Cpa Logistics Center Tlalnepantla,19.57493,-99.202443,Nublado
Cuautipark I,19.661297,-99.185389,Considerablemente nublado
Cuautipark Ii,19.731922,-99.198028,Nublado
Estrella Park,19.301458,-99.612171,Lluvia intensa
Evolution Park Cartagena,19.648619,-99.154872,Nublado
Evolution Park La Teja,19.734947,-99.212341,Nublado
Evolution Park Tepotzotlán,19.707141,-99.211695,Nublado
Ferropark Ii,19.509431,-99.178383,Nublado
Fraccionamiento Industrial Alce Blanco,19.476387,-99.225222,Nublado
Fraccionamiento Industrial Barrientos,19.573617,-99.2000149,Nublado
Fraccionamiento Industrial Cuamatla,19.662937,-99.197266,Considerablemente nublado
Fraccionamiento Industrial El Pedregal,19.567992,-99.261259,Nublado
Fraccionamiento Industrial Esfuerzo Nacional,19.529945,-99.070431,Considerablemente nublado
Fraccionamiento Industrial La Loma,19.533275,-99.20583,Nublado
Fraccionamiento Industrial La Perla,19.480348,-99.22048,Nublado
Fraccionamiento Industrial La Presa,19.525228,-99.115089,Considerablemente nublado
Fraccionamiento Industrial Las Armas,19.509278,-99.21088,Nublado
Fraccionamiento Industrial Los Reyes,19.5236074,-99.193813,Nublado
Fraccionamiento Industrial Morelos,19.565908,-99.044728,Considerablemente nublado
Fraccionamiento Industrial Naucalpan,19.481571,-99.230846,Nublado
Fraccionamiento Industrial Niños Heroes,19.565684,-99.19919842,Nublado
Fraccionamiento Industrial Puente De Vigas,19.510115,-99.21277,Nublado
Fraccionamiento Industrial San Andres A Toto,19.460287,-99.217713,Nublado
Fraccionamiento Industrial San Buenaventura,19.55236885,-99.184562,Nublado
Fraccionamiento Industrial San Jeroniμο Tepetlacalco,19.515761271427785,-99.20782414288016,Nublado
Fraccionamiento Industrial San Lorenzo,19.539574,-99.207696,Nublado
Fraccionamiento Industrial San Nicolás,19.5522702,-99.2022709,Nublado
Fraccionamiento Industrial Santa Maria Tulpetlac,19.56325,-99.043448,Considerablemente nublado
Fraccionamiento Industrial Sección San Sebastian Xhala,19.685977,-99.192453,Nublado
Fraccionamiento Industrial Sección Xhala,19.686498,-99.184515,Nublado
Fraccionamiento Industrial Tabla Honda,19.544286,-99.179883,Nublado
Fraccionamiento Industrial Tlatilco,19.466395,-99.240465,Nublado
Fraccionamiento Industrial Tlaxcolpan,19.552636,-99.197168,Nublado
Fraccionamiento Industrial Xalostóc,19.513456,-99.083883,Considerablemente nublado
Frontier Toluca,19.375532,-99.558864,Nublado
Gustavo Baz Park,19.521511,-99.210944,Nublado
Kimex Park Tlalne,19.570153,-99.209485,Nublado
La Bomba,19.308779,-99.537436,Nublado
La Laguna Industrial Park,19.687262,-99.2127005,Nublado
Lerma Litos,19.292462,-99.553633,Nublado
Lerma Park I,19.291388,-99.545393,Nublado
Lerma Park Ii,19.287632,-99.520752,Nublado
Logicenter Cuautitlán I Xhala,19.696096,-99.185115,Nublado
Logicenter Lerma I,19.316996,-99.542229,Nublado
Logicenter Lerma Ii,19.291061,-99.530099,Nublado
Logipark Xochitla,19.7288707,-99.1972174,Nublado
Logistic Center Toluca,19.289085,-99.543958,Nublado
Logistics And Distribution Bussines Park (Ldbp),19.291229,-98.893898,Considerablemente nublado
Macrocentro Tultitlan Iii,19.623378,-99.158123,Nublado
Macrocentro Tultitlán,19.623603,-99.153801,Nublado
Macrocentro Tultitlán Ii,19.628459,-99.152077,Nublado
Maravillas Park,19.347131,-99.588845,Nublado
Megapark,19.736205,-99.206204,Considerablemente nublado
Mexiquense Park,19.641735,-99.14226,Nublado
Multialmacenes Logisticos Tultitlán,19.640634,-99.149406,Nublado
Multipark,19.627926,-99.140356,Considerablemente nublado
Parque Agroindustrial San Antonio La Isla,19.175837,-99.576241,Bruma
Parque Corporativo,19.3022251,-99.559506,Nublado
Parque Industrial Arco 57,19.997035,-99.521058,Considerablemente nublado
Parque Industrial Atlacomulco,19.787093,-99.895725,Considerablemente nublado
Parque Industrial Campus Cuautitlán I,19.667377,-99.191389,Considerablemente nublado
Parque Industrial Cartagena,19.652187,-99.157656,Nublado
Parque Industrial Cerrillo I,19.296566,-99.539353,Nublado
Parque Industrial Cerrillo Ii,19.308661,-99.531326,Nublado
Parque Industrial Coacalco,19.640893,-99.115056,Considerablemente nublado
Parque Industrial Cuamatla,19.664903,-99.199868,Nublado
Parque Industrial Cuatitlan (Ocpl),19.673322,-99.233486,Nublado
Parque Industrial Cuautitlán,19.667438,-99.19141,Nublado
Parque Industrial El Coecillo,19.298402,-99.57912,Lluvia intensa
Parque Industrial El Convento,19.715366,-99.203221,Nublado
Parque Industrial El Convento Ii,19.704083,-99.215111,Nublado
Parque Industrial El Sabino,19.682006,-99.196973,Nublado
Parque Industrial El Terremoto,19.682403,-99.148337,Considerablemente nublado
Parque Industrial Exportec,19.336182,-99.584144,Nublado
Parque Industrial Exporteci,19.336182,-99.584144,Nublado
Parque Industrial Frisa (Dona Rosa),19.288357,-99.537218,Nublado
Parque Industrial Huehuetoca (Odih),19.839678,-99.206342,Nublado
Parque Industrial Inn,19.376309,-99.563077,Nublado
Parque Industrial Ixtapaluca,19.313312,-98.89314,Considerablemente nublado
Parque Industrial Ixtlahuaca,19.578065,-99.762426,Considerablemente nublado
Parque Industrial Jilotepec,19.979619,-99.528053,Considerablemente nublado
Parque Industrial La Bomba,20.563507,-100.249748,Considerablemente nublado
Parque Industrial La Espinita,19.296404,-98.887591,Considerablemente nublado
Parque Industrial La Joya,19.65794,-99.174547,Nublado
Parque Industrial La Luz,19.696756,-99.204764,Nublado
Parque Industrial La Palma,19.80293,-98.969699,Considerablemente nublado
Parque Industrial Las Américas,19.849772,-99.238007,Nublado
Parque Industrial Lerma,19.289923,-99.552074,Nublado
Parque Industrial Naucalpan,19.464239,-99.215222,Nublado
Parque Industrial Nezahualcóyotl,19.40858,-99.018344,Considerablemente nublado
Parque Industrial Polo Inn,20.253056,-99.915,Considerablemente nublado
Parque Industrial Prologis Carrizal,19.713317,-99.198608,Nublado
Parque Industrial Prologis Park Cedros,19.707499,-99.20574,Nublado
Parque Industrial Pyme Capulhuac,19.217002,-99.465956,Lluvia intensa
Parque Industrial Pyμε San Nicolás Tlazala,19.217001,-99.465803,Lluvia intensa
Parque Industrial San Antonio Buenavista,19.303055,-99.613766,Lluvia intensa
Parque Industrial San Cayetano,19.419965,-99.716462,Nublado
Parque Industrial San Lorenzo,19.706014,-99.201235,Nublado
Parque Industrial San Martin,19.273252,-99.472853,Nublado
Parque Industrial San Martin Obispo,19.607879,-99.207041,Nublado
Parque Industrial San Martin Obispo Ii,19.594962,-99.208438,Nublado
Parque Industrial San Miguel Tultitlán,19.639025,-99.137016,Considerablemente nublado
Parque Industrial San Pablo Xalpa,19.519312,-99.1664355,Nublado
Parque Industrial Santa Barbara,19.777772,-99.873842,Considerablemente nublado
Parque Industrial Santa Margarita,19.588359,-99.751917,Considerablemente nublado
Parque Industrial Santiago Tianguistenco I Y Ii,19.173149,-99.46764,Lluvia intensa
Parque Industrial Siporex I. Naucalpan,19.479945,-99.226203,Nublado
Parque Industrial Tecámac,19.701725,-99.052761,Considerablemente nublado
Parque Industrial Tenango Del Valle,19.119336,-99.595146,Nublado
Parque Industrial Toluca,19.327779,-99.661071,Nublado
Parque Industrial Toluca 2000,19.385794,-99.571092,Nublado
Parque Industrial Trebol,19.721556,-99.203739,Nublado
Parque Industrial Tres Ríos,19.695456,-99.204587,Nublado
Parque Industrial Tultitlán,19.655953,-99.152589,Nublado
Parque Industrial Vesta Park Toluca 1,19.374827,-99.581554,Nublado
Parque Industrial Vesta Park Toluca 2,19.383018,-99.563264,Nublado
Parque Industrial Xalpa De Villa Hormes,19.812035,-99.190603,Nublado
Parque Industrial Xolache,19.527515,-98.89429558,Considerablemente nublado
"Parque Industrial Ziporex Ii, Lerma",19.310843,-99.558341,Nublado
"Parque Industrial Ziporex Iii, Toluca",19.30226,-99.551861,Nublado
Parque Logístico El Peral,19.708046,-99.191628,Nublado
Parque Microindustrial Cuautitlán Izcalli,19.689517,-99.200281,Nublado
Pit Parque Industrial Texcoco,19.53078,-98.9000539,Considerablemente nublado
Polaris,19.308066,-99.557133,Nublado
Premium Park Lerma,19.294754,-99.55524,Nublado
Premium Park Tultepec Ii,19.650681,-99.146786,Nublado
Premium Park Tultepeci,19.648428,-99.149006,Nublado
Prologis Agave Logistic Center,19.605677,-99.212183,Nublado
Prologis Encino Logistic Center,19.604939,-99.211979,Nublado
Prologis Fresno,19.620452,-99.167767,Nublado
Prologis Izcalli,19.709558,-99.193585,Nublado
Prologis Laurel,19.681845,-99.182624,Nublado
Prologis Mezquite Logistic Center,19.613446,-99.229208,Nublado
Prologis Park Alamos,19.624415,-99.18072,Nublado
Prologis Park Grande,19.732274,-99.216712,Nublado
Prologis Park Izcalli Iv,19.714185,-99.194221,Nublado
Prologis Park Jlp,19.620412,-99.167778,Nublado
Prologis Park Toluca,19.297611,-99.546366,Nublado
Prologis Park Toluca Ii,19.369675,-99.565844,Nublado
Prologis Terminal Intermodal Ladero,19.680502,-99.190768,Nublado
Proximity Parks Naucalpan,19.480026,-99.223283,Nublado
Puente México I,19.700753,-99.229399,Nublado
Puente México Ii,19.70023,-99.224906,Nublado
Puente México Iii,19.70023,-99.224906,Nublado
Sb Parque Industrial,19.704525,-99.190543,Nublado
Tepotzotlan Park,19.709968,-99.206915,Nublado
Tepozopark,19.731672,-99.204136,Nublado
Tepozpark I,19.739823,-99.226275,Nublado
Tepozpark Ii,19.73624,-99.225065,Nublado
Tepozpark Iii,19.737482,-99.223349,Nublado
Tepozpark Iv,19.73176,-99.21291,Nublado
Tepozpark V,19.732715,-99.209645,Nublado
Tlalne Park,19.578526,-99.209945,Nublado
Tlanepark,19.553207,-99.178332,Nublado
Tlanepark Ii,19.58927,-99.211281,Nublado
Tlanepark Iii,19.520011,-99.119531,Considerablemente nublado
Tlanepark Iv,19.587049,-99.198159,Nublado
Toluca Park,19.292374,-99.535416,Nublado
Tolucapark Doña Rosa,19.290465,-99.544244,Nublado
Tule Industrial Park,19.651152,-99.150105,Nublado
Tule Industrial Park Ii,19.649927,-99.150748,Nublado
Tule Industrial Park Iii,19.647519,-99.145123,Nublado
Tultepark,19.654705,-99.148409,Nublado
Tultipark 7,19.634282,-99.153412,Nublado
Tultipark 8,19.632738,-99.153272,Nublado
Tultipark 9,19.621236,-99.154308,Nublado
Tultipark Ii (La Purísima),19.634067,-99.152229,Nublado
Tultipark Iii,19.63961,-99.145479,Considerablemente nublado
Tultipark Iv,19.64289,-99.14474,Nublado
Tultiparki,19.618461,-99.185608,Nublado
Tultitlán Ii,19.595918,-99.182465,Nublado
World Park Cuautitlán,19.704191,-99.190854,Nublado
World Park Lerma,19.28853,-99.529115,Nublado
World Park Tlalnepantla,19.5374052,-99.1938772,Nublado
World Park Tlalnepantla I,19.582512,-99.194876,Nublado
World Park Tlalnepantla Ii,19.535399,-99.211123,Nublado
World Park Tultepec,19.679317,-99.144287,Considerablemente nublado
World Park Tultitlan I,19.655831,-99.16327,Nublado
World Park Tultitlan Ii,19.645908,-99.136748,Considerablemente nublado
Xhala Park,19.688962,-99.180503,Nublado
Zona Industrial Cerro Gordo,19.549761,-99.05249,Considerablemente nublado
Zona Industrial Chalco,19.251617,-98.886954,Considerablemente nublado
Zona Industrial Corredor Lechería Cuautitlan,19.622746,-99.1836,Nublado
Zona Industrial Corredor López Portillo Tultitlan,19.6197,-99.181241,Nublado
Zona Industrial Guadalupe Victoria,19.622736,-99.067706,Considerablemente nublado
Zona Industrial Independencia,19.619085,-99.173872,Nublado
Zona Industrial Jajalpa,19.588666,-99.034321,Considerablemente nublado
Zona Industrial Ocoyoacac,19.273272,-99.482766,Lluvia intensa
Zona Industrial Ocoyoacac (Alto Lerma),19.273021,-99.483262,Lluvia intensa
Zona Industrial Prof. Cristobal Higuera Y/ Atizapán Centro,19.56788717556672,-99.26117917653865,Nublado
Zona Industrial Puente De Vigas,19.514505,-99.216248,Nublado
Zona Industrial Recursos Hidráulicos,19.622456,-99.177488,Nublado
Zona Industrial Santa Clara Coatitla,19.533551,-99.069131,Considerablemente nublado
