N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"1","PARQUE INDUSTRIAL POLO INN","POLOTITLÁN","CALLE ABEL MEJIA NO. 6. CARR PALMILLAS TOLUCA KM. 126, SAN ANTONIO ESCOBEDO, POLOTITLÁN MEXICO","PRIVADO",20.253056,-99.915000
"2","PARQUE INDUSTRIAL JILOTEPEC","JILOTEPEC","KM. 3 CARR. JILOTEPEC SOYANIQUILPAN A UN COSTADO DE LA AUTOPISTA ARCO NORTE, EL XHITEY, JILOTEPEC, MÉXICO, C.P. 54240.","MUNICIPALIZADO",19.979619,-99.528053
"3","PARQUE INDUSTRIAL EL CONVENTO","TEPOTZOTLÁN","ENTRE AV. CIRCUNVALACIÓN, AV DEL CONVENTO Y AV DE LA INDUSTRIA, COL EL TREBOL, TEPOTZOTLÁN, MEXICO C.P.54614.","PRIVADO",19.715366,-99.203221
"4","PARQUE INDUSTRIAL EL CONVENTO II","TEPOTZOTLÁN","LIBRAMIENTO SUR S/N, COL. TEXCOCO TEPOTZOTLAN, MEXICO C.P. 54630","PRIVADO",19.704083,-99.215111
"5","PARQUE INDUSTRIAL TREBOL","TEPOTZOTLÁN","AUTOPISTA MEXICO QUERETARO ENTRE RÍO TEPOTZOTLAN Y AV INDUSTRIA. COL EL TREBOL TEPOTZOTLÁN, MEXICO, C. P. 54614.","MUNICIPALIZADO",19.721556,-99.203739
"6","PARQUE INDUSTRIAL PROLOGIS PARK CEDROS","TEPOTZOTLÁN","ENTRE LA AUTOPISTA MÉXICO QUERÉTARO Y EL CAMINO A COYOTEPEC SOBRE EL RIO CUAUTITLÁN, TEXCOCO, COL. CEDROS. TEPOTZOTLÁN, MÉXICO, C.P. 54605.","PRIVADO",19.707499,-99.205740
"7","PARQUE INDUSTRIAL PROLOGIS CARRIZAL","TEPOTZOTLÁN","AV. DE LA CIRCUNVALACIÓN NO. 1, COL EL TREBOL, TEPOTZOTLAN, MÉXICO, C P. 54605.","PRIVADO",19.713317,-99.198608
"8","MEGAPARK","TEPOTZOTLÁN","CARR PUENTE GRANDE LAS ANIMAS S/N, LAS ANIMAS, TEPOTZOTLÁN, MÉXICO, C.P. 54616.","PRIVADO",19.736205,-99.206204
"9","TEPOZPARK IV","TEPOTZOTLAN","ANTIGUO CAMINO A COYOTEPEC N° 97. COLONIA RICARDO FLORES MAGON. TEPOTZOTLÁN, ESTADO DE MÉXICO","PRIVADO",19.731760,-99.212910
"10","CPA LOGISTIC CENTER TEPOTZOTLAN","TEPOTZOTLÁN","AVENIDA DE LA INDUSTRIA, P. 1. EL CONVENTO, TEPOTZOTLÁN, MÉXICO.","PRIVADO",19.715824,-99.205511
"11","EVOLUTION PARK TEPOTZOTLÁN","TEPOTZOTLÁN","CALLE ARBOLITOS S/N, TEXCACOA TEPOTZOTLAN, MEXICO.","PRIVADO",19.707141,-99.211695
"12","EVOLUTION PARK LA TEJA","TEPOTZOTLAN","AV. LA LUZ, COL FLORES MAGON. C.P.54607, TEPOTZOTLÁN, MÉXICO.","PRIVADO",19.734947,-99.212341
"13","PROLOGIS PARK GRANDE","TEPOTZOTLÁN","LIBRAMIENTO NORTE NO.87. LOTE A COL LA TEJA, TEPOTZOTLÁN, MÉXICO.","PRIVADO",19.732274,-99.216712
"14","TEPOTZOTLAN PARK","TEPOTZOTLÁN","KM 42.5 CARRETERA MEXICO QUERÉTARO, BARRIO TEXCACOA 54605 ΤΕΡΟΤZOTLÁN, MÉXICO.","PRIVADO",19.709968,-99.206915
"15","TEPOZPARK I","TEPOTZOTLAN","ANTIGUO CAMINO A COYOTEPEC NO. 97, COLONIA RICARDO FLORES MAGON. TEPOTZOTLÁN, MÉXICO.","PRIVADO",19.739823,-99.226275
"16","TEPOZPARK II","TEPOTZOTLÁN","ANTIGUO CAMINO A COYOTEPEC S/N COLONIA RICARDO FLORES MAGÓN. TEPOTZOTLÁN, MÉXICO","PRIVADO",19.736240,-99.225065
"17","TEPOZPARK III","TEPOTZOTLÁN","ANTIGUO CAMINO A COYOTEPEC S/N COLONIA RICARDO FLORES MAGON TEPOTZOTLÁN, MÉXICO","PRIVADO",19.737482,-99.223349
"18","TEPOZPARK V","TEPOTZOTLÁN","AVENIDA INDUSTRIAL S/N, LAS ANIMAS 54616, ΤΕΡΟΤZOTLÁN, MÉXICO.","PRIVADO",19.732715,-99.209645
"19","PARQUE INDUSTRIAL ATLACOMULCO","ATLACOMULCO","CARR ATLACOMULCO SAN FELIPE DEL PROGRESO KM. 2. (BLVD. ARTURO MONTIEL ROJAS), COL PARQUE INDUSTRIAL. ATLACOMULCO, MÉXICO, C.P. 50450.","MUNICIPALIZADO",19.787093,-99.895725
"20","PARQUE INDUSTRIAL SANTA BARBARA","ATLACOMULCO","CAMINO FLOR DE MARÍA S/N. COL PARQUE INDUSTRIAL SANTA BARBARA, ATLACOMULCO, MÉXICO, С.Р. 50454.","FIDEPAR",19.777772,-99.873842
