nombre,lat,lon
Acambay de Ruíz Castañeda,19.5722423,-99.5038515
Acolman,19.3807832,-98.544286
Aculco,20.055779,-99.4940766
Almoloya de Alquisiras,18.5202038,-99.5337681
Almoloya de Juárez,19.2209455,-99.4530787
Almoloya del Río,19.0933791,-99.291983
Amanalco,19.1508557,-100.0111935
Amatepec,18.4100566,-100.1109772
Amecameca,19.0743266,-98.4611318
Apaxco,19.5831169,-99.1026986
Atenco,19.3333621,-98.5448051
Atizapán,19.1036328,-99.2916591
Atizapán de Zaragoza,19.3235414,-99.1406147
Atlacomulco,19.4800103,-99.5227314
Atlautla,19.0151099,-98.4657599
Axapusco,19.4328049,-98.4529989
Ayapango,19.0737997,-98.480902
Calimaya,19.094761,-99.3707195
Capulhuac,19.1135244,-99.275187
Coacalco de Berriozábal,19.3745476,-99.0615758
Coatepec Harinas,18.5532558,-99.4606667
Cocotitlán,19.135108,-98.5143027
Coyotepec,19.4631827,-99.1228729
Cuautitlán,19.3954221,-99.1043069
Chalco,19.1540074,-98.5344357
Chapa de Mota,19.4848475,-99.3133582
Chapultepec,19.1204185,-99.3342742
Chiautla,19.3255147,-98.5252856
Chicoloapan,19.2500355,-98.5407244
Chiconcuac,19.33098,-98.5343105
Chimalhuacán,19.2500867,-98.5643077
Donato Guerra,19.183072,-100.0838981
Ecatepec de Morelos,19.355665,-99.0256971
Ecatzingo,18.5731374,-98.4509353
Huehuetoca,19.5001038,-99.1214897
Hueypoxtla,19.5425342,-99.0442132
Huixquilucan,19.2136648,-99.210609
Isidro Fabela,19.3320129,-99.2502568
Ixtapaluca,19.1847176,-98.530329
Ixtapan de la Sal,18.504058,-99.4032962
Ixtapan del Oro,19.1544136,-100.1551176
Ixtlahuaca,19.341133,-99.4609362
Xalatlaco,19.1103792,-99.244945
Jaltenco,19.4507996,-99.0538513
Jilotepec,19.5710204,-99.3158183
Jilotzingo,19.3220105,-99.2349686
Jiquipilco,19.3327356,-99.3630959
Jocotitlán,19.4242544,-99.4708871
Joquicingo,19.0257222,-99.3154544
Juchitepec,19.0606883,-98.5251296
Lerma,19.1707344,-99.3042541
Malinalco,18.570843,-99.2951235
Melchor Ocampo,19.423749,-99.083645
Metepec,19.1508712,-99.361617
Mexicaltzingo,19.1239994,-99.3512674
Morelos,19.4713122,-99.4003973
Naucalpan de Juárez,19.284369,-99.1359585
Nezahualcóyotl,19.2431548,-99.010552
Nextlalpan,19.4423519,-99.0449215
Nicolás Romero,19.3732574,-99.1857233
Nopaltepec,19.4643674,-98.4234359
Ocoyoacac,19.1609411,-99.2720503
Ocuilan,18.5844731,-99.2500999
El Oro,19.4807715,-100.0750393
Otumba,19.4159473,-98.4527699
Otzoloapan,19.070267,-100.1751762
Otzolotepec,19.2458343,-99.3330922
Ozumba,19.0221037,-98.4743402
Papalotla,19.3348159,-98.5129553
La Paz,19.2130193,-98.5835766
Polotitlán,20.1325714,-99.4853082
Rayón,19.0852838,-99.3454261
San Antonio la Isla,19.0950758,-99.3409609
San Felipe del Progreso,19.4250127,-99.571186
San Martín de las Pirámides,19.4217436,-98.5004288
San Mateo Atenco,19.1551,-99.3147
San Simón de Guerrero,19.012312,-100.0026201
Santo Tomás,19.10587,-100.1535212
Soyaniquilpan de Juárez,20.0050008,-99.3140426
Sultepec,18.5130765,-99.5759147
Tecámac,19.4236746,-98.5801713
Tejupilco,18.5420507,-100.091225
Temamatla,19.1209866,-98.5211648
Temascalapa,19.4940288,-98.5402996
Temascalcingo,19.5457281,-100.001469
Temascaltepec,19.0235069,-100.0228894
Temoaya,19.281205,-99.3541662
Tenancingo,18.5742589,-99.353783
Tenango del Aire,19.0925212,-98.5140664
Tenango del Valle,19.0613539,-99.352967
Teoloyucan,19.4443676,-99.1059034
Teotihuacán,19.4107726,-98.520706
Tepetlaoxtoc,19.3424115,-98.4910987
Tepetlixpa,19.0146254,-98.4910949
Tepotzotlán,19.4249601,-99.1324652
Tequixquiac,19.5436996,-99.0856087
Texcaltitlán,18.5549402,-99.5621396
Texcalyacac,19.0756019,-99.3011049
Texcoco,19.3048383,-98.5253344
Tezoyuca,19.3525125,-98.5430613
Tianguistenco,19.1052371,-99.280278
Timilpan,19.5234209,-99.4401604
Tlalmanalco,19.1221252,-98.4809193
Tlalnepantla de Baz,19.3218684,-99.1142714
Tlatlaya,18.370423,-100.1228192
Toluca,19.1736557,-99.392634
Tonatico,18.480727,-99.4015366
Tultepec,19.4107973,-99.0742979
Tultitlán,19.3851048,-99.1009102
Valle de Bravo,19.1139821,-100.0753785
Villa de Allende,19.22243,-100.0857682
Villa del Carbón,19.4339318,-99.2747087
Villa Guerrero,18.5742151,-99.3831199
Villa Victoria,19.2630752,-99.5942181
Xonacatlán,19.2415909,-99.3149425
Zacazonapan,19.0428046,-100.1522017
Zacualpan,18.4307213,-99.4632238
Zinacantepec,19.1705663,-99.4406135
Zumpahuacán,18.502734,-99.3508144
Zumpango,19.4749643,-99.0602282
Cuautitlán Izcalli,19.3925184,-99.123343
Valle de Chalco Solidaridad,19.1643554,-98.5636415
Luvianos,18.5513736,-100.1758007
San José del Rincón,19.3939755,-100.0907001
Tonanitla,19.4117382,-99.0315702
