nombre,latitud,longitud,Prediccion
Advance Tepotzotlán I,19.718776,-99.2113516,Despejado
Advance Tepotzotlán Ii,19.706043,-99.227541,Despejado
Advance Toluca,19.296003,-99.575542,Considerablemente nublado
Atizapan Park,19.539376,-99.285799,Considerablemente nublado
Atizapark,19.583509,-99.225772,Despejado
Centro Industrial Tlalnepantla,19.541366,-99.203062,Considerablemente nublado
Centro Logistico Puente Grande,19.819191,-99.205352,Despejado
Ceylanpark,19.508272,-99.175993,Considerablemente nublado
Citypark,19.555128,-99.192462,Considerablemente nublado
Coacalco Park,19.622174,-99.077862,Considerablemente nublado
Condoter Park,19.305699,-99.553429,Despejado
Conjunto Industrial Cuautitlan I,19.649561,-99.183818,Considerablemente nublado
Conjunto Industrial Cuautitlan Ii,19.65034,-99.183631,Considerablemente nublado
Conjunto Industrial Pasteje,19.658335,-99.795567,Considerablemente nublado
Convento City Parki,19.705828,-99.213635,Despejado
Corredor Industrial Lerma,19.289741,-99.551966,Considerablemente nublado
Corredor Industrial Toluca,19.299512,-99.583138,Considerablemente nublado
Cpa Distribution Tlalnepantla Center,19.56754,-99.198667,Considerablemente nublado
Cpa Logistic Center Cuautitlan,19.684236,-99.150967,Considerablemente nublado
Cpa Logistic Center Estado De Mexico,19.729954,-99.137099,Considerablemente nublado
Cpa Logistic Center Huehuetoca,19.894085,-99.241278,Considerablemente nublado
Cpa Logistic Center San Martin Obispo,19.60655,-99.206113,Despejado
Cpa Logistic Center Tepotzotlan,19.715824,-99.205511,Despejado
Cpa Logistics Center Tlalnepantla,19.57493,-99.202443,Considerablemente nublado
Cuautipark I,19.661297,-99.185389,Despejado
Cuautipark Ii,19.731922,-99.198028,Despejado
Estrella Park,19.301458,-99.612171,Considerablemente nublado
Evolution Park Cartagena,19.648619,-99.154872,Considerablemente nublado
Evolution Park La Teja,19.734947,-99.212341,Despejado
Evolution Park Tepotzotlán,19.707141,-99.211695,Despejado
Ferropark Ii,19.509431,-99.178383,Considerablemente nublado
Fraccionamiento Industrial Alce Blanco,19.476387,-99.225222,Considerablemente nublado
Fraccionamiento Industrial Barrientos,19.573617,-99.2000149,Considerablemente nublado
Fraccionamiento Industrial Cuamatla,19.662937,-99.197266,Despejado
Fraccionamiento Industrial El Pedregal,19.567992,-99.261259,Despejado
Fraccionamiento Industrial Esfuerzo Nacional,19.529945,-99.070431,Considerablemente nublado
Fraccionamiento Industrial La Loma,19.533275,-99.20583,Considerablemente nublado
Fraccionamiento Industrial La Perla,19.480348,-99.22048,Considerablemente nublado
Fraccionamiento Industrial La Presa,19.525228,-99.115089,Considerablemente nublado
Fraccionamiento Industrial Las Armas,19.509278,-99.21088,Considerablemente nublado
Fraccionamiento Industrial Los Reyes,19.5236074,-99.193813,Considerablemente nublado
Fraccionamiento Industrial Morelos,19.565908,-99.044728,Considerablemente nublado
Fraccionamiento Industrial Naucalpan,19.481571,-99.230846,Considerablemente nublado
Fraccionamiento Industrial Niños Heroes,19.565684,-99.19919842,Considerablemente nublado
Fraccionamiento Industrial Puente De Vigas,19.510115,-99.21277,Considerablemente nublado
Fraccionamiento Industrial San Andres A Toto,19.460287,-99.217713,Considerablemente nublado
Fraccionamiento Industrial San Buenaventura,19.55236885,-99.184562,Considerablemente nublado
Fraccionamiento Industrial San Jeroniμο Tepetlacalco,19.515761271427785,-99.20782414288016,Considerablemente nublado
Fraccionamiento Industrial San Lorenzo,19.539574,-99.207696,Considerablemente nublado
Fraccionamiento Industrial San Nicolás,19.5522702,-99.2022709,Considerablemente nublado
Fraccionamiento Industrial Santa Maria Tulpetlac,19.56325,-99.043448,Considerablemente nublado
Fraccionamiento Industrial Sección San Sebastian Xhala,19.685977,-99.192453,Despejado
Fraccionamiento Industrial Sección Xhala,19.686498,-99.184515,Despejado
Fraccionamiento Industrial Tabla Honda,19.544286,-99.179883,Considerablemente nublado
Fraccionamiento Industrial Tlatilco,19.466395,-99.240465,Considerablemente nublado
Fraccionamiento Industrial Tlaxcolpan,19.552636,-99.197168,Considerablemente nublado
Fraccionamiento Industrial Xalostóc,19.513456,-99.083883,Considerablemente nublado
Frontier Toluca,19.375532,-99.558864,Despejado
Gustavo Baz Park,19.521511,-99.210944,Considerablemente nublado
Kimex Park Tlalne,19.570153,-99.209485,Considerablemente nublado
La Bomba,19.308779,-99.537436,Despejado
La Laguna Industrial Park,19.687262,-99.2127005,Despejado
Lerma Litos,19.292462,-99.553633,Despejado
Lerma Park I,19.291388,-99.545393,Despejado
Lerma Park Ii,19.287632,-99.520752,Despejado
Logicenter Cuautitlán I Xhala,19.696096,-99.185115,Despejado
Logicenter Lerma I,19.316996,-99.542229,Despejado
Logicenter Lerma Ii,19.291061,-99.530099,Despejado
Logipark Xochitla,19.7288707,-99.1972174,Despejado
Logistic Center Toluca,19.289085,-99.543958,Considerablemente nublado
Logistics And Distribution Bussines Park (Ldbp),19.291229,-98.893898,Considerablemente nublado
Macrocentro Tultitlan Iii,19.623378,-99.158123,Considerablemente nublado
Macrocentro Tultitlán,19.623603,-99.153801,Considerablemente nublado
Macrocentro Tultitlán Ii,19.628459,-99.152077,Considerablemente nublado
Maravillas Park,19.347131,-99.588845,Despejado
Megapark,19.736205,-99.206204,Despejado
Mexiquense Park,19.641735,-99.14226,Considerablemente nublado
Multialmacenes Logisticos Tultitlán,19.640634,-99.149406,Considerablemente nublado
Multipark,19.627926,-99.140356,Considerablemente nublado
Parque Agroindustrial San Antonio La Isla,19.175837,-99.576241,Considerablemente nublado
Parque Corporativo,19.3022251,-99.559506,Considerablemente nublado
Parque Industrial Arco 57,19.997035,-99.521058,Considerablemente nublado
Parque Industrial Atlacomulco,19.787093,-99.895725,Despejado
Parque Industrial Campus Cuautitlán I,19.667377,-99.191389,Despejado
Parque Industrial Cartagena,19.652187,-99.157656,Considerablemente nublado
Parque Industrial Cerrillo I,19.296566,-99.539353,Despejado
Parque Industrial Cerrillo Ii,19.308661,-99.531326,Despejado
Parque Industrial Coacalco,19.640893,-99.115056,Considerablemente nublado
Parque Industrial Cuamatla,19.664903,-99.199868,Considerablemente nublado
Parque Industrial Cuatitlan (Ocpl),19.673322,-99.233486,Despejado
Parque Industrial Cuautitlán,19.667438,-99.19141,Despejado
Parque Industrial El Coecillo,19.298402,-99.57912,Considerablemente nublado
Parque Industrial El Convento,19.715366,-99.203221,Despejado
Parque Industrial El Convento Ii,19.704083,-99.215111,Despejado
Parque Industrial El Sabino,19.682006,-99.196973,Despejado
Parque Industrial El Terremoto,19.682403,-99.148337,Considerablemente nublado
Parque Industrial Exportec,19.336182,-99.584144,Despejado
Parque Industrial Exporteci,19.336182,-99.584144,Despejado
Parque Industrial Frisa (Dona Rosa),19.288357,-99.537218,Despejado
Parque Industrial Huehuetoca (Odih),19.839678,-99.206342,Despejado
Parque Industrial Inn,19.376309,-99.563077,Despejado
Parque Industrial Ixtapaluca,19.313312,-98.89314,Considerablemente nublado
Parque Industrial Ixtlahuaca,19.578065,-99.762426,Considerablemente nublado
Parque Industrial Jilotepec,19.979619,-99.528053,Considerablemente nublado
Parque Industrial La Bomba,20.563507,-100.249748,Considerablemente nublado
Parque Industrial La Espinita,19.296404,-98.887591,Considerablemente nublado
Parque Industrial La Joya,19.65794,-99.174547,Considerablemente nublado
Parque Industrial La Luz,19.696756,-99.204764,Despejado
Parque Industrial La Palma,19.80293,-98.969699,Considerablemente nublado
Parque Industrial Las Américas,19.849772,-99.238007,Despejado
Parque Industrial Lerma,19.289923,-99.552074,Despejado
Parque Industrial Naucalpan,19.464239,-99.215222,Considerablemente nublado
Parque Industrial Nezahualcóyotl,19.40858,-99.018344,Considerablemente nublado
Parque Industrial Polo Inn,20.253056,-99.915,Considerablemente nublado
Parque Industrial Prologis Carrizal,19.713317,-99.198608,Despejado
Parque Industrial Prologis Park Cedros,19.707499,-99.20574,Despejado
Parque Industrial Pyme Capulhuac,19.217002,-99.465956,Considerablemente nublado
Parque Industrial Pyμε San Nicolás Tlazala,19.217001,-99.465803,Considerablemente nublado
Parque Industrial San Antonio Buenavista,19.303055,-99.613766,Considerablemente nublado
Parque Industrial San Cayetano,19.419965,-99.716462,Despejado
Parque Industrial San Lorenzo,19.706014,-99.201235,Despejado
Parque Industrial San Martin,19.273252,-99.472853,Despejado
Parque Industrial San Martin Obispo,19.607879,-99.207041,Despejado
Parque Industrial San Martin Obispo Ii,19.594962,-99.208438,Despejado
Parque Industrial San Miguel Tultitlán,19.639025,-99.137016,Considerablemente nublado
Parque Industrial San Pablo Xalpa,19.519312,-99.1664355,Considerablemente nublado
Parque Industrial Santa Barbara,19.777772,-99.873842,Considerablemente nublado
Parque Industrial Santa Margarita,19.588359,-99.751917,Considerablemente nublado
Parque Industrial Santiago Tianguistenco I Y Ii,19.173149,-99.46764,Considerablemente nublado
Parque Industrial Siporex I. Naucalpan,19.479945,-99.226203,Considerablemente nublado
Parque Industrial Tecámac,19.701725,-99.052761,Considerablemente nublado
Parque Industrial Tenango Del Valle,19.119336,-99.595146,
Parque Industrial Toluca,19.327779,-99.661071,Despejado
